Waste type,Initial pH,Initial carbon to nitrogen,Initial moisture content (%),Compost time (day),pH,Temperature (℃),Moisture content (%),EC（ms/cm-1）,Ammonia氨mg/kg,Nitrate硝酸盐mg/kg,总氮(%),总有机碳变化(%),有机质含量变化(%),C/N,GI (%),NH4+-N (g/Kg),NO3--N (g/Kg),CO2 (g/Kg),CH4 (g/Kg),N2O (g/Kg),NH3 (g/Kg),segment,Temperature_corr,Moisture_corr,pH_corr,batch_id
sludge waste composting,7.37099,22.219,63.441,16.0,52.913,51.556,8.45732,1.70467,3677.7,750.93,2.01431,35.013542144,72.8594,17.3824,36.141,,,,,,,Segment A: calibrated,52.913,51.556,8.45732,sludge waste composting|7.371|22.219|63.441
sludge waste composting,7.37099,22.219,63.441,19.0,43.005,47.759,8.57154,1.36474,3295.8,808.59,2.09028,33.170235264,72.7558,15.8688,48.355,,,,,,,Segment A: calibrated,43.005,47.759,8.57154,sludge waste composting|7.371|22.219|63.441
sludge waste composting,7.37099,22.219,63.441,24.0,42.533,45.701,8.50218,1.23146,2561.9,945.27,2.24638,32.409198174,68.8171,14.4273,55.052,,,,,,,Segment A: calibrated,42.533,45.701,8.50218,sludge waste composting|7.371|22.219|63.441
sludge waste composting,7.37099,22.219,63.441,29.0,30.028,43.825,8.43795,1.3234,2331.4,1051.51,2.30415,32.338054005,69.1725,14.0347,63.278,,,,,,,Segment A: calibrated,30.028,43.825,8.43795,sludge waste composting|7.371|22.219|63.441
sludge waste composting,7.37099,22.219,63.441,34.0,32.411,40.685,8.3349,0.89473,2120.9,1179.05,2.36593,31.987610193,68.0849,13.5201,78.386,,,,,,,Segment A: calibrated,32.411,40.685,8.3349,sludge waste composting|7.371|22.219|63.441
sludge waste composting,7.37099,22.219,63.441,41.0,28.477,40.006,7.97319,1.17484,1649.2,1199.93,2.38741,29.067194232,66.1538,12.1752,84.304,,,,,,,Segment A: calibrated,28.477,40.006,7.97319,sludge waste composting|7.371|22.219|63.441
sludge waste composting,7.37099,22.219,63.441,48.0,28.139,38.726,7.66843,1.28876,1217.7,1376.07,2.43303,28.961572605,65.5955,11.9035,90.379,,,,,,,Segment A: calibrated,28.139,38.726,7.66843,sludge waste composting|7.371|22.219|63.441
sludge waste composting,7.55479,23.3166,61.456,1.0,32.868,61.456,7.55479,0.779,1812.3,474.84,1.96536,45.825512976,79.6776,23.3166,31.952,,,,,,,Segment A: calibrated,32.868,61.456,7.55479,sludge waste composting|7.555|23.317|61.456
sludge waste composting,7.55479,23.3166,61.456,3.0,37.591,59.887,7.63269,1.11853,2910.0,675.63,1.72447,41.174480402,79.3621,23.8766,33.163,,,,,,,Segment A: calibrated,37.591,59.887,7.63269,sludge waste composting|7.555|23.317|61.456
sludge waste composting,7.55479,23.3166,61.456,5.0,53.603,58.86,7.55781,1.13685,3272.9,705.93,1.70422,39.816373548,79.1523,23.3634,35.443,,,,,,,Segment A: calibrated,53.603,58.86,7.55781,sludge waste composting|7.555|23.317|61.456
sludge waste composting,7.55479,23.3166,61.456,7.0,57.334,56.93,7.99557,1.62041,3857.1,340.52,1.74017,38.956837756,79.6112,22.3868,22.739,,,,,,,Segment A: calibrated,57.334,56.93,7.99557,sludge waste composting|7.555|23.317|61.456
sludge waste composting,7.55479,23.3166,61.456,10.0,58.341,52.412,8.68454,1.5205,2941.6,696.5,1.77604,38.501172724,77.0086,21.6781,17.065,,,,,,,Segment A: calibrated,58.341,52.412,8.68454,sludge waste composting|7.555|23.317|61.456
sludge waste composting,7.55479,23.3166,61.456,13.0,50.913,47.112,8.46998,1.20644,2549.6,729.8,1.84803,37.038771669,76.3067,20.0423,25.303,,,,,,,Segment A: calibrated,50.913,47.112,8.46998,sludge waste composting|7.555|23.317|61.456
sludge waste composting,7.55479,23.3166,61.456,16.0,51.301,43.736,8.58939,1.77483,2983.1,699.18,1.93805,36.429719655,76.696,18.7971,33.847,,,,,,,Segment A: calibrated,51.301,43.736,8.58939,sludge waste composting|7.555|23.317|61.456
sludge waste composting,7.55479,23.3166,61.456,19.0,45.609,42.947,8.50424,1.45335,2732.1,738.58,2.01004,36.162026628,75.9237,17.9907,53.094,,,,,,,Segment A: calibrated,45.609,42.947,8.50424,sludge waste composting|7.555|23.317|61.456
sludge waste composting,7.55479,23.3166,61.456,24.0,43.401,42.453,8.46593,1.27576,2451.2,933.08,2.09792,34.565539712,73.5337,16.4761,66.674,,,,,,,Segment A: calibrated,43.401,42.453,8.46593,sludge waste composting|7.555|23.317|61.456
sludge waste composting,7.55479,23.3166,61.456,29.0,30.154,40.577,8.42243,1.30863,2130.0,1011.94,2.24796,33.303752196,71.2493,14.8151,72.3,,,,,,,Segment A: calibrated,30.154,40.577,8.42243,sludge waste composting|7.555|23.317|61.456
sludge waste composting,7.55479,23.3166,61.456,34.0,30.551,39.662,8.36081,1.05349,1557.2,1291.68,2.31175,32.834016425,68.9296,14.2031,75.633,,,,,,,Segment A: calibrated,30.551,39.662,8.36081,sludge waste composting|7.555|23.317|61.456
sludge waste composting,7.55479,23.3166,61.456,41.0,27.981,37.299,7.76347,0.96065,1478.0,1349.09,2.35334,31.809155444,68.3714,13.5166,88.741,,,,,,,Segment A: calibrated,27.981,37.299,7.76347,sludge waste composting|7.555|23.317|61.456
sludge waste composting,7.55479,23.3166,61.456,48.0,29.256,34.756,7.6503,1.0266,1308.3,1415.65,2.41296,30.370479744,66.7923,12.5864,92.366,,,,,,,Segment A: calibrated,29.256,34.756,7.6503,sludge waste composting|7.555|23.317|61.456
sludge waste composting,7.24082,8.2935,59.408,0.0,36.716,59.408,7.24082,2.2319,4835.6,1.9913,3.03061,25.1579,50.2395,8.2935,65.132,,,,,,,Segment A: calibrated,36.716,59.408,7.24082,sludge waste composting|7.241|8.294|59.408
sludge waste composting,7.24082,8.2935,59.408,3.0,86.44,55.464,7.57143,2.667,5000.0,5.4656,2.73852,22.0541,47.7525,8.1937,8.705,,,,,,,Segment A: calibrated,86.44,55.464,7.57143,sludge waste composting|7.241|8.294|59.408
sludge waste composting,7.24082,8.2935,59.408,6.0,86.44,50.666,8.05714,2.929,5000.0,4.2284,2.55867,19.6349,45.7126,7.8764,24.293,,,,,,,Segment A: calibrated,86.44,50.666,8.05714,sludge waste composting|7.241|8.294|59.408
sludge waste composting,7.24082,8.2935,59.408,12.0,73.111,44.358,8.11429,3.0229,5000.0,3.1725,2.60102,17.5329,44.7345,7.0028,51.727,,,,,,,Segment A: calibrated,73.111,44.358,8.11429,sludge waste composting|7.241|8.294|59.408
sludge waste composting,7.24082,8.2935,59.408,18.0,68.494,39.367,8.19592,3.3581,5000.0,1.3487,2.62297,16.9045,40.3752,6.7269,63.885,,,,,,,Segment A: calibrated,68.494,39.367,8.19592,sludge waste composting|7.241|8.294|59.408
sludge waste composting,7.24082,8.2935,59.408,24.0,29.926,40.625,8.13878,3.2622,5000.0,2.0499,2.69184,16.1974,40.1238,6.3315,96.93,,,,,,,Segment A: calibrated,29.926,40.625,8.13878,sludge waste composting|7.241|8.294|59.408
sludge waste composting,7.24082,8.2935,59.408,36.0,36.444,39.26,8.1551,3.4255,5000.0,2.372,2.71938,16.0197,39.7884,6.2472,101.607,,,,,,,Segment A: calibrated,36.444,39.26,8.1551,sludge waste composting|7.241|8.294|59.408
sludge waste composting,7.24082,8.2935,59.408,48.0,29.383,37.039,8.19184,3.4746,5000.0,3.2799,2.67553,15.8684,39.5928,6.2391,102.542,,,,,,,Segment A: calibrated,29.383,37.039,8.19184,sludge waste composting|7.241|8.294|59.408
sludge waste composting,7.3102,8.4565,58.289,0.0,34.543,58.289,7.3102,2.2826,4532.6,1.8742,2.98571,25.1578,50.519,8.4565,60.456,,,,,,,Segment A: calibrated,34.543,58.289,7.3102,sludge waste composting|7.31|8.456|58.289
sludge waste composting,7.3102,8.4565,58.289,3.0,47.037,56.452,7.61224,2.5612,5000.0,2.3289,2.8079,23.5805,49.1218,8.4872,27.41,,,,,,,Segment A: calibrated,47.037,56.452,7.61224,sludge waste composting|7.31|8.456|58.289
sludge waste composting,7.3102,8.4565,58.289,6.0,48.99,55.074,7.95102,2.9095,5000.0,4.1893,2.48114,22.3192,46.6627,9.1589,1.847,,,,,,,Segment A: calibrated,48.99,55.074,7.95102,sludge waste composting|7.31|8.456|58.289
sludge waste composting,7.3102,8.4565,58.289,12.0,43.235,52.648,8.20408,2.6932,5000.0,4.3438,2.4092,21.9275,46.5509,9.2853,0.911,,,,,,,Segment A: calibrated,43.235,52.648,8.20408,sludge waste composting|7.31|8.456|58.289
sludge waste composting,7.3102,8.4565,58.289,18.0,55.457,49.893,8.54694,2.9016,5000.0,3.7825,2.47399,19.8519,44.008,8.216,6.835,,,,,,,Segment A: calibrated,55.457,49.893,8.54694,sludge waste composting|7.31|8.456|58.289
sludge waste composting,7.3102,8.4565,58.289,24.0,51.383,48.125,8.62449,2.8311,5000.0,3.833,2.48163,18.6184,43.3373,7.7771,47.674,,,,,,,Segment A: calibrated,51.383,48.125,8.62449,sludge waste composting|7.31|8.456|58.289
sludge waste composting,7.3102,8.4565,58.289,36.0,47.58,47.484,8.54694,2.8232,5000.0,3.7256,2.44389,18.0459,43.0579,7.6385,47.362,,,,,,,Segment A: calibrated,47.58,47.484,8.54694,sludge waste composting|7.31|8.456|58.289
sludge waste composting,7.3102,8.4565,58.289,48.0,43.778,41.776,8.32653,3.1703,5000.0,4.3471,2.38979,17.5263,42.4711,7.5543,65.444,,,,,,,Segment A: calibrated,43.778,41.776,8.32653,sludge waste composting|7.31|8.456|58.289
sludge waste composting,7.7459,14.3536,69.885,1.0,36.681,69.885,7.7459,2.0513,3186.0,149.03,3.4,52.0,63.3287,14.3536,42.4018,,,,,,,Segment A: calibrated,36.681,69.885,7.7459,sludge waste composting|7.746|14.354|69.885
sludge waste composting,7.7459,14.3536,69.885,2.0,43.064,68.757,8.2418,1.9956,3785.2,221.63,3.261,43.2239028,61.5012,13.2548,34.2779,,,,,,,Segment A: calibrated,43.064,68.757,8.2418,sludge waste composting|7.746|14.354|69.885
sludge waste composting,7.7459,14.3536,69.885,3.0,60.809,70.931,8.2418,3.70159999999999,5000.0,488.8,2.9107,37.49883917,59.6364,12.8831,34.9305,,,,,,,Segment A: calibrated,60.809,70.931,8.2418,sludge waste composting|7.746|14.354|69.885
sludge waste composting,7.7459,14.3536,69.885,4.0,54.298,70.112,8.3169,3.34549999999999,5000.0,586.23,2.3431,29.27750312,58.2937,12.4952,27.8116,,,,,,,Segment A: calibrated,54.298,70.112,8.3169,sludge waste composting|7.746|14.354|69.885
sludge waste composting,7.7459,14.3536,69.885,5.0,53.277,63.514,8.5724,3.00029999999999,5000.0,236.53,2.4698,30.74110664,57.7343,12.4468,29.3601,,,,,,,Segment A: calibrated,53.277,63.514,8.5724,sludge waste composting|7.746|14.354|69.885
sludge waste composting,7.7459,14.3536,69.885,6.0,49.957,58.979,9.3989,2.4584,5000.0,261.5,2.2388,28.22768592,56.2797,12.6084,28.9334,,,,,,,Segment A: calibrated,49.957,58.979,9.3989,sludge waste composting|7.746|14.354|69.885
sludge waste composting,7.7459,14.3536,69.885,7.0,49.319,61.05,9.3538,2.3654,5000.0,218.18,2.1551,26.30170244,55.9441,12.2044,24.6108,,,,,,,Segment A: calibrated,49.319,61.05,9.3538,sludge waste composting|7.746|14.354|69.885
sludge waste composting,7.7459,14.3536,69.885,8.0,46.766,60.954,9.3689,2.428,5000.0,137.57,2.1977,26.04032753,55.9441,11.8489,31.4619,,,,,,,Segment A: calibrated,46.766,60.954,9.3689,sludge waste composting|7.746|14.354|69.885
sludge waste composting,7.7459,14.3536,69.885,9.0,43.83,57.555,9.4139,2.4414,5000.0,162.56,2.0579,23.08675694,54.4522,11.2186,29.172,,,,,,,Segment A: calibrated,43.83,57.555,9.4139,sludge waste composting|7.746|14.354|69.885
sludge waste composting,7.7459,14.3536,69.885,10.0,40.0,56.943,9.3839,2.2605,5000.0,160.63,2.2267,25.34029134,54.2657,11.3802,33.6932,,,,,,,Segment A: calibrated,40.0,56.943,9.3839,sludge waste composting|7.746|14.354|69.885
sludge waste composting,7.7459,14.3536,69.885,11.0,37.191,53.75,9.2486,2.3618,5000.0,90.38,2.1991,24.59979233,54.0793,11.1863,38.5208,,,,,,,Segment A: calibrated,37.191,53.75,9.2486,sludge waste composting|7.746|14.354|69.885
sludge waste composting,7.7459,14.3536,69.885,12.0,34.766,52.312,9.2637,2.3954,5000.0,125.71,2.1925,24.38432725,54.3776,11.1217,42.032,,,,,,,Segment A: calibrated,34.766,52.312,9.2637,sludge waste composting|7.746|14.354|69.885
sludge waste composting,7.7459,14.3536,69.885,13.0,33.489,51.493,9.2186,2.4508,5000.0,150.69,2.2,22.72556,54.1538,10.3298,40.689,,,,,,,Segment A: calibrated,33.489,51.493,9.2186,sludge waste composting|7.746|14.354|69.885
sludge waste composting,7.7459,14.3536,69.885,14.0,31.702,50.984,9.2486,2.4027,5000.0,154.97,2.2425,22.36736775,53.7063,9.9743,42.6062,,,,,,,Segment A: calibrated,31.702,50.984,9.2486,sludge waste composting|7.746|14.354|69.885
sludge waste composting,7.7459,14.3536,69.885,15.0,20.979,50.062,9.0833,2.6595,5000.0,101.3,2.1378,19.59571614,53.296,9.1663,41.8315,,,,,,,Segment A: calibrated,20.979,50.062,9.0833,sludge waste composting|7.746|14.354|69.885
sludge waste composting,7.7459,14.3536,69.885,16.0,17.787,48.933,8.918,2.5723,4594.7,80.73,2.2855,20.7651388,53.3333,9.0856,56.4763,,,,,,,Segment A: calibrated,17.787,48.933,8.918,sludge waste composting|7.746|14.354|69.885
sludge waste composting,5.65,12.9962,69.782,1.0,37.191,69.782,5.65,4.1737,3219.4,153.48,3.4,50.85153136,63.3287,12.9962,37.045,,,,,,,Segment A: calibrated,37.191,69.782,5.65,sludge waste composting|5.65|12.996|69.782
sludge waste composting,5.65,12.9962,69.782,2.0,36.936,64.628,6.8443,2.6798,3221.5,178.49,3.4,39.50522628,61.2401,11.3802,37.5158,,,,,,,Segment A: calibrated,36.936,64.628,6.8443,sludge waste composting|5.65|12.996|69.782
sludge waste composting,5.65,12.9962,69.782,3.0,54.426,66.183,8.1516,3.59759999999999,4062.4,421.85,3.037,33.1385292,59.3753,10.9116,31.6562,,,,,,,Segment A: calibrated,54.426,66.183,8.1516,sludge waste composting|5.65|12.996|69.782
sludge waste composting,5.65,12.9962,69.782,4.0,52.638,65.364,5.9727,4.0038,5000.0,438.92,3.0445,33.31870355,59.3007,10.9439,32.6258,,,,,,,Segment A: calibrated,52.638,65.364,5.9727,sludge waste composting|5.65|12.996|69.782
sludge waste composting,5.65,12.9962,69.782,5.0,52.894,58.25,7.3702,3.2347,5000.0,187.02,2.4978,27.21453012,58.9277,10.8954,40.3464,,,,,,,Segment A: calibrated,52.894,58.25,7.3702,sludge waste composting|5.65|12.996|69.782
sludge waste composting,5.65,12.9962,69.782,6.0,52.128,60.115,6.8893,3.731,5000.0,219.96,2.4001,24.48246006,58.4056,10.2006,41.1162,,,,,,,Segment A: calibrated,52.128,60.115,6.8893,sludge waste composting|5.65|12.996|69.782
sludge waste composting,5.65,12.9962,69.782,7.0,47.021,55.374,6.8292,3.2467,5000.0,134.18,2.4778,25.99559092,57.3613,10.4914,43.141,,,,,,,Segment A: calibrated,47.021,55.374,6.8292,sludge waste composting|5.65|12.996|69.782
sludge waste composting,5.65,12.9962,69.782,8.0,45.617,54.245,7.2049,2.8631,5000.0,95.9,2.5834,25.14139046,56.6527,9.7319,43.0734,,,,,,,Segment A: calibrated,45.617,54.245,7.2049,sludge waste composting|5.65|12.996|69.782
